com.anysoftkeyboard.languagepack.kurdish	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.latvian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.luxembourgish	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.mirfatif.urdu	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.nias	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.norwegian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.numpad	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.oldnortharabian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.osspolish	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.ossturkish	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.persian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.piedmontese	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.pilaga	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.portuguese	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.romanian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.russian2	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.rusyn	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.sardinian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.serbian_oss	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.sinhala	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.slovene	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.songhay	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.spain	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.swedish	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.tamazight	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.thai	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.ukrainian	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.theme.classic_pc	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.theme.ics	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.theme.israel64	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.theme.three_d	AnySoftKeyboard/AnySoftKeyboard
com.anywherelan.awl	anywherelan/awl
com.ap.transmission.btc	AndreyPavlenko/transmissionbtc
com.apk.editor	apk-editor/APK-Explorer-Editor
com.apkupdater.ci	rumboalla/apkupdater
com.app.dailylog	madCode/dailylog
com.app.dockeep	mattgdot/Dockeep
com.app.equran	ya27hw/equran_app
com.app.missednotificationsreminder	httpdispatch/MissedNotificationsReminder
com.app.noted	3slam11/noted
com.app.openlib	dstark5/Openlib
com.app.shared.expense	Koushikphy/Shared-Expense-Manager
com.appmindlab.nano	appml/neutrinote
com.apps.adrcotfas.goodtime	adrcotfas/goodtime
com.apps.anker.flutter_ko	dasmikko/knocky
com.aptasystems.dicewarepasswordgenerator	jeffisaak/diceware-pass-gen
com.aradar.vibecheck	aradar46/Vibecheck-Private-Mood-Tracker
com.aragaer.jtt	aragaer/jtt_android
com.aravi.dot	kamaravichow/safe-dot-android
com.arduia.expense	arduia/ProExpense
com.arijit.pomodoro	Arijit-05/Fomodoro
com.armanmaurya.archiv	armanmaurya/archiv
com.armanmaurya.internetradio	armanmaurya/InternetRadio
com.arn.scrobble	kawaiiDango/pano-scrobbler
com.arslan.shizuwall	AhmetCanArslan/ShizuWall
com.arslandaim.omegaplayer	arslandaim-hub/OmegaPlayer
com.arslandaim.playtube	arslandaim-hub/PlayTube
com.arsvechkarev.vault	arsvechkarev/Vault
com.artemchep.pocketmode	AChep/PocketMode
com.arthur.arcade	fattdonki/Arcade
com.artifex.mupdf.mini.app	ArtifexSoftware/mupdf-android-viewer-mini
com.artifex.mupdf.viewer.app	ArtifexSoftware/mupdf-android-viewer
com.arturkowalczyk300.cryptocurrencyprices	arturkowalczyk300/android-cryptocurrency-prices
com.artxdev.songtube	SongTube/SongTube-App
com.arxlibertatis	sandstranger/ArxLibertatis-android-port
com.aryan.reader.oss	Aryan-Raj3112/episteme
com.ashkanrafiee.balance	AshkanRafiee/balance
com.ashkanrafiee.librecontactsbackup	AshkanRafiee/Libre-Contacts-Backup
com.asksakis.freegate	sfortis/phylax
com.astoev.cave.survey	lz1asl/CaveSurvey
com.astroloop.game	PubDeer/astro-loop
com.asyjaiz.A12blur	AsyJAIZ/Notification-Shade-Transparency
com.atelieryl.wonderdroid	williehwc/wonderdroid-x
com.ath0.rpn	lpar/RPN
com.atop	HassanHeydariNasab/atop-react-native
com.atr.hiit	ATryder/HIIT
com.atul.musicplayer	AP-Atul/music_player_lite
